楼盘名, 详细链接, 所属区, 详细地址,价格,单位,优惠,开盘时间
东冠逸品花园,http://yipinhuayuandg.fang.com/,开发区,深圳路7号,12000,元/平方米,全款98折,2012年12月21日7号楼已开盘
御景天成花苑,http://yujingtianchenghuayuan.fang.com/villa/,开发区,深圳东路111号,6000,元/平方米,全款9折,2012年1月25日加推218#、228#楼
淮安国际汽车城,http://huaianguojiqichecheng0517.fang.com/,淮阴区,淮海北路688号,12000,元/平方米,暂无,2012-1-1
和美居,http://hemeiju0517.fang.com/,开发区,深圳路15号,3700,元/平方米,交2千抵3万,2011年7月开11#楼
华谊星河,http://huayixinghe.fang.com/,淮安区,府前路66号（翔宇大道和楚州大道交汇处）,5200,元/平方米,全款95按揭97,2014年5月18日一期已开盘
华祥新绿洲,http://huaxiangxinluzhou.fang.com/,淮安区,翔宇大道南侧，经十一路东侧,4700,元/平方米,购房送电动车,2014年1月20日加推8#
海天御墅,http://haitianyushu.fang.com/,清浦区,淮海南路市车管所北500米。,4500,元/平方米,全款95按揭98,2013年10月1日一期已开盘
东湖翠景苑,http://cuijingyuandh.fang.com/,开发区,三亚路与福州路交界处,4200,元/平方米,全款98折,2013-10-01推13号楼
府升小区,http://fushengxiaoqu.fang.com/,淮阴区,长江东路北侧、银川路西侧,5400,元/平方米,暂无,2011年11月3日开盘
锦绣江南花园,http://jinxiujiangnanhuayuan.fang.com/,淮安区,翔宇南道1009号,12000,元/平方米,无,预计2010年08月21日一期首次开盘
金地商业广场,http://jindishangyeguangchang0517.fang.com/,淮安区,翔宇南道588号（河下古镇东）,25000,元/平方米,无,2013-6-8
雨润大厦,http://yurundasha.fang.com/,清河区,淮海东路、淮海南路交汇处（淮海广场中心),,,无,预计2014年
天一名都,http://tianyimingdu0517.fang.com/,开发区,承德北路72号（迎宾大道与合肥路交叉口）,4400,元/平方米,2万教育基金,2014年8月10日商铺已开盘
府山时代广场,http://shidaiguangchangfs.fang.com/,清浦区,淮海南路23号,8000,元/平方米,全款98按揭99,2013-1-6
华侨新苑,http://huaqiaoxinyuan.fang.com/,淮阴区,翔宇北道605号（九江路以南）,4600,元/平方米,优惠30/平,2012年6月1日加推2期9号楼
大长江国际家居广场,http://guojijiajuguangchangdcj.fang.com/,开发区,深圳路南侧、广州路西侧,5000,元/平方米,无,2012-8-1
藏瓏鸿基雅园,http://canglonghongjiyayaun.fang.com/,开发区,淮海西路169号,4300,元/平方米,特价4580,2012年2月19-22号楼已开盘
新世纪大厦,http://xinshijidasha.fang.com/,清河区,健康西路51号,6000,元/平方米,全款9折,2006年12月8日推2#3#楼
龙游城,http://longyoucheng.fang.com/,清河区,淮海北路东侧、体育馆北侧,,,无,待定
文华名城,http://wenhuamingcheng0517.fang.com/,淮安区,楚州大道与杜康桥路交汇处（新淮中斜对面）,5400,元/平方米,交500抵1万,2014年10月1日加推5#楼
富丽花园,http://fulihuayuan0517.fang.com/,清河区,健康西路174号,,,,
北京新村,http://beijingxincun0517.fang.com/,清河区,淮安市北京路与大治路交叉口向南,,,,
市委东大院,http://dongdayuan.fang.com/,清河区,淮安市健康路,,,,
南城小区,http://nanchengxiaoqu0517.fang.com/,清浦区,清浦区清浦大桥南100米柯山路南侧,,,,
富春花园,http://fuchunhuayuan0517.fang.com/,清浦区,淮安市解放东路,,,,
剑桥佳苑,http://jianqiaojiayuan0517.fang.com/,清浦区,清浦区明远路与天津路交汇处,,,,
浦东花园,http://pudonghuayuan0517.fang.com/,清浦区,解放东路58号,,,,
化工新村,http://huagongxincun0517.fang.com/,清浦区,清浦区解放西路南侧,,,,
万达广场一期,http://wandaguangchangyiqi.fang.com/,清河区,水渡口,,,,
新新家园,http://xinxinjiayuan0517.fang.com/,清浦区,清浦区延安东路南侧,,,,
华能小区,http://huanengxiaoqu0517.fang.com/,清河区,淮海西路97,,,,
东方丽景,http://dongfanglijing0517.fang.com/,清河区,水渡口大道北侧,,,,
楚州淮上人家,http://huaishangrenjiacz.fang.com/,淮安区,华西路15号（淮城镇华西路北侧）,4900,元/平方米,交2万抵3万,2013年10月06日一期已开盘
众城名府,http://newhouse.huaian.fang.com/house/1826658938.htm,清浦区,北京南路12号（北京南路与解放西路交汇处）,4700,元/平方米,全款98折,2013年10月二期开盘
华富汇,http://huafuhui.fang.com/,开发区,迎宾大道鸿海路交汇处(富士康对面),3500,元/平方米,特价房2988,2011年7月16日二期已开盘
御水天成,http://yushuitiancheng.fang.com/,淮安区,友谊西路18号（友谊路北侧、棉纺织厂南侧）,4300,元/平方米,定房减2-3万,2011-3-20
东方希尔顿,http://dongfangxierdun.fang.com/,淮安区,永怀东路2号（纬七路南、楚州大道东）,5000,元/平方米,一次性96折,2009年10月28日一期已开盘
学府69街二期,http://xuefu69jie.fang.com/2/,开发区,柯山路南侧、合意路东侧,4000,元/平方米,特价房3600起,2014年4月5日加推1#楼
维多莉雅花苑,http://newhouse.huaian.fang.com/house/1826825742.htm,开发区,福州路青岛路交界,4000,元/平方米,分期首付,2011年9月15日开3#4#楼
伊美翡翠城,http://feicuichengym.fang.com/,清浦区,延安西路198号（北京南路延安西路交汇处）,4500,元/平方米,无,2014-12-22
东湖怡景苑三期景园,http://donghuyijingyuan.fang.com/3/,开发区,大连路11号,4800,元/平方米,按揭95全款93,预计2014年11月加推3幢花园洋房
天香幸福墅,http://tianxiangxingfushu.fang.com/,开发区,深圳路与南京路交汇路,7500,元/平方米,全款9折,2014年10月10日推50套别墅
禧徕乐国际商贸城,http://newhouse.huaian.fang.com/house/1827044222.htm,清浦区,枚皋路8号（汽车南站西侧）,,,无,2011年10月29日开5156套
天润和府,http://tianrunhefu.fang.com/,清浦区,淮海南路288号,4500,元/平方米,全款97按揭98,2014年6月8日加推1#2#楼
东风花园,http://dongfenghuayuan0517.fang.com/,清浦区,清浦区延安东路北侧,,,,
东方花园,http://dongfanghuayuan0517.fang.com/,清浦区,解放东路88号,,,,
天山华庭,http://tianshanhuating0517.fang.com/,清河区,淮海北路,,,,
龙门之都,http://longmenzhidu.fang.com/,开发区,翔宇大道112号,,,,
金鼎御庭,http://jindingyuting.fang.com/,清河区,清河区淮海西路127号,,,,
金樽国际,http://jinzunguoji0517.fang.com/,清浦区,解放东路与承德南路交界处,,,,
黄元小区,http://huangyuanxiaoqu0517.fang.com/,开发区,清河新区深圳东路,,,,
华城小区,http://huachengxiaoqu0517.fang.com/,清浦区,淮海南路12号,,,,
丹桂苑,http://danguiyuan0517.fang.com/,清河区,承德北路222号,,,,
健康新村,http://jiankangxincun0517.fang.com/,清河区,清河区健康东路,,,,
凤凰新村,http://fenghuangxincun0517.fang.com/,清浦区,清河区上海路,,,,
富豪花园南区,http://fuhaohuayuannanqu.fang.com/,淮阴区,黄河西路,,,,
文庙新天地,http://wenmiaoxintiandi.fang.com/,清浦区,承德南路楚秀园北大门,,,,
万达广场二期,http://wandaguangchang0517.fang.com/2/,清河区,水渡口,,,,
荷花池小区,http://hehuachi0517.fang.com/,清浦区,人民南路2号,,,,
东湖望景苑,http://wangjingyuandh.fang.com/,开发区,珠海路103号,,,,
新民小区,http://xinminxiaoqu0517.fang.com/,清浦区,承德南路57号,,,,
旺旺家缘,http://wangwangjiayuan0517.fang.com/,开发区,清河区丰收河以北,杭州路西侧,,,,
深圳小区,http://shenzhenxiaoqu0517.fang.com/,开发区,淮安市经济开发区经二路,,,,
黄河花园,http://huanghehuayuan0517.fang.com/,淮阴区,淮阴区黄河东路7号,,,,
前进小区,http://qianjinxiaoqu0517.fang.com/,清浦区,前进路3号,,,,
东城E-house,http://dongchengehouse.fang.com/,开发区,天津路33号（承德南路与枚皋路交界处）,4000,元/平方米,按揭99折,2014年3月22日一期已开盘
8090青年公寓,http://8090qingniangongyu.fang.com/,开发区,迎宾大道与合肥南路交界处,3800,元/平方米,10套特价房,2011年3月6-8#已开盘
淮安现代国际新城,http://newhouse.huaian.fang.com/house/1827044124.htm,清浦区,北京南路与枚乘路交叉口,13500,元/平方米,按揭99折,2011-11-8
福地清华苑,http://qinghuayuanfudi.fang.com/,开发区,大连路南侧、南京路西侧,4400,元/平方米,全款97按揭98,2014-1-10
燕上私语,http://yanshangsiyu.fang.com/,开发区,南京路与三亚路交汇处,4200,元/平方米,全款95按揭96,2013年10月13日首次开盘
天元阳光苑,http://yangguangyuanty.fang.com/,清浦区,柯山路19号（柯山路与政通路交汇处）,4300,元/平方米,全款98折,2013年6月第二次加推
浙大网新淮安科技园,http://kejiyuanzhedawangxin.fang.com/,开发区,枚皋路5号（淮安软件园东侧）,4500,元/平方米,无,2014年2月开盘
科安国际花园,http://keanguojihuayuan.fang.com/,开发区,广州路和迎宾大道交接处,3699,元/平方米,,预计2015年6月初一期开盘
利苑新村,http://liyuanxincun0517.fang.com/,清河区,清河区上海路和利苑路交界处,,,,
中天虹桥花园,http://hongqiaohuayuanzt.fang.com/,清河区,淮海北路149号,,,,
南方花园,http://nanfanghuayuan0517.fang.com/,开发区,开发区飞耀南路,,,,
万达广场公寓,http://wandaguangchanggongyu0517.fang.com/,清河区,水渡口,,,,
益兴名流花苑,http://mingliuhuayuanyx.fang.com/,清河区,军营西路,,,,
盛世豪庭,http://shengshihaoting0517.fang.com/,楚州,楚州大道苏源宾馆东侧,,,,
国华御锦园,http://yujinyuangh.fang.com/,淮阴区,樱花路北侧，曙光路西,,,,
青春雅轩,http://qingchunyaxuan.fang.com/,开发区,韩泰南路18号（4路车科创中心下车即到）,,,,
水渡新村,http://shuiduxincun.fang.com/,清河区,清河区翔宇北道东侧,,,,
清晏小区,http://qingyanxiaoqu.fang.com/,清浦区,清浦区人民南路,,,,
东昇花园,http://dongshenghuayuan0517.fang.com/,淮阴区,淮阴区北京东路98号,,,,
富春小区,http://fuchunxiaoqu.fang.com/,清浦区,淮安市清浦区解放东路87号,,,,
书香华庭,http://shuxianghuating0517.fang.com/,清浦区,前进东路128号,,,,
南洋花园,http://nanyanghuayuan0517.fang.com/,淮阴区,淮安市北京东路153号（淮阴区妇幼保健院对面）,,,,
水岸名宅,http://shuianmingzhai.fang.com/,清河区,清河区承德北路西侧,,,,
富淮园,http://fuhuaiyuan0517.fang.com/,清河区,清河区健康东路,,,,
世袭雅园,http://shixiyayuan.fang.com/,开发区,韩泰北路8号,,,,
市委北大院,http://shiweibeidayuan.fang.com/,清河区,淮海北路，淮安迎宾馆北侧,,,,
天龙御城,http://tianlongyucheng.fang.com/,清河区,淮海南路158号（淮海路与延安路交汇处）,,,,
玫瑰苑,http://meiguiyuan0517.fang.com/,清河区,上海西路42号,,,,
江淮人家,http://jianghuairenjia.fang.com/,淮阴区,淮阴区北京北路与北京西路交界处,,,,
新港小区,http://xingangxiaoqu0517.fang.com/,清河区,清河区淮海西路272号,,,,
运河新村,http://yunhexincun0517.fang.com/,清浦区,前进路7号,,,,
淮钢大厦,http://huaigangdasha0517.fang.com/,清浦区,淮海南路129,,,,
中鑫上城,http://zhongxinshangcheng.fang.com/,清河区,淮安市健康路与承德路交叉（易初莲花对面）,,,,
永和家园,http://yonghejiayuan0517.fang.com/,清河区,淮海西路268号,,,,
清新花苑,http://qingxinhuayuan0517.fang.com/,开发区,淮安经济开发区广州路与徐州路交界处,,,,
盛华和美居,http://hemeijush.fang.com/,开发区,淮安经济开发区深圳路与南京路交界处,,,,
城中花园,http://chengzhonghuayuan20517.fang.com/,淮阴区,淮阴区北京东路57号,,,,
金佳园,http://jinjiayuan0517.fang.com/,清河区,八二路62号,,,,
新华苑,http://xinhuayuan0517.fang.com/,清河区,丰登路8,,,,
北京花园,http://beijinghuayuan0517.fang.com/,清河区,中径路,,,,
市委西大院,http://xidayuan.fang.com/,清河区,淮安市健康西路,,,,
亿鑫花苑,http://yixinhuayuan0517.fang.com/,开发区,经济开发区深圳路26号,,,,
长江路小区,http://changjiangluxiaoqu.fang.com/,淮阴区,淮阴区长江东路,,,,
石塔湖小区,http://shitahuxiaoqu0517.fang.com/,清河区,上海路南,,,,
文沁园,http://wenqinyuan0517.fang.com/,清浦区,人民南路109号,,,,
环城小区,http://huanchengxiaoqu0517.fang.com/,清浦区,环城西路北侧,,,,
瑞福莱花园,http://ruifulaihuayun.fang.com/,清浦区,淮海南路解放东路57号,,,,
电厂河小区,http://dianchanghexiaoqu.fang.com/,清浦区,淮三路电厂河西侧,,,,
东方明珠花园,http://dongfangmingzhu0517.fang.com/,开发区,珠海路5号,,,,
盛华心港湾花苑,http://shenghuaxingangwan.fang.com/,开发区,深圳路南侧济南路西侧,,,,
苹果国际公寓,http://pingguoguojigongyu.fang.com/,清河区,淮安市淮海西路与北京北路交叉口（市政公园南）,,,,
旺旺家园,http://wangwangjiayuan2.fang.com/,清河区,杭州路8号,,,,
威海花园,http://weihaihuayuan0517.fang.com/,开发区,威海路188号,,,,
城东花园,http://chengdonghuayuan0517.fang.com/,开发区,开发区富准路79号,,,,
书香门第,http://shuxiangmendi0517.fang.com/,清河区,淮城镇城东乡,,,,
清隆家园,http://qinglongjiayuan.fang.com/,开发区,淮安市清河新区,,,,
淮海花园,http://huaihaihuayuan0517.fang.com/,清河区,承德北路58号,,,,
富康园,http://fukangyuan0517.fang.com/,清浦区,港口路6号,,,,
建业小区,http://jianyexiaoqu0517.fang.com/,清河区,健康西路,,,,
新淮中花园,http://xinhuaizhonghuayuan2.fang.com/,清浦区,淮安市解放路南侧,,,,
爱琴海花园,http://aiqinhaihuayuan0517.fang.com/,淮阴区,樱花路169号（樱花路与曙光路交汇处新长征小学对面）,,,,
御花园,http://yuhuayuan0517.fang.com/,淮阴区,淮阴区北京东路与曙光路交界处,,,,
幸福新苑,http://xingfuxinyuan0517.fang.com/,淮阴区,淮阴区,,,,
建设小区,http://jianshexiaoqu0517.fang.com/,清河区,清河区中经路32号,,,,
运河城逸翠园,http://yunhechengyicuiyuan.fang.com/,清浦区,淮海南路西侧 柯山路南侧,,,,
供电南院,http://gongdiannanyuan.fang.com/,清浦区,淮海南路134-1号,,,,
清纤小区,http://qingxianxiaoqu.fang.com/,清浦区,延安西路南侧,,,,
乐园小区,http://leyuanxiaoqu0517.fang.com/,清浦区,西大街南侧 人民路东侧,,,,
富豪花园北区,http://fuhaohuayuanbeiqu.fang.com/,淮阴区,黄河西路,,,,
桃李花园,http://taolihuayuan0517.fang.com/,淮阴区,淮阴区长江西路,,,,
金都花园,http://jinduhuayuan0517.fang.com/,淮阴区,淮阴区翔宇北道东侧,,,,
盛祥苑,http://shengxiangyuan.fang.com/,淮阴区,淮阴区黄河东路南侧,,,,
国税公寓,http://guoshuigongyu.fang.com/,淮阴区,淮阴区承德北路,,,,
安涉桥小区,http://ansheqiaoxiaoqu.fang.com/,清河区,淮海路与承德路交界处,,,,
市委南大院,http://shiweinandayuan0517.fang.com/,清河区,健康西路29,,,,
财富广场,http://caifuguangchang0517.fang.com/,清浦区,淮海南路1号,,,,
联盛国际广场,http://lianshengguojiguangchang.fang.com/,清浦区,淮海南路105号,,,,
机关一号生活大院,http://jiguanyihaoshenghuodayuan.fang.com/,清河区,淮安市清河路一号,,,,
紫荆苑,http://zijingyuan0517.fang.com/,开发区,深圳路30号,,,,
晓庄教师公寓,http://xiaozhuangjiaoshigongyu.fang.com/,开发区,汕头路30号（4路公交底站）,,,,
兴宇世纪名都,http://shijimingduxy.fang.com/,洪泽县,东三街东侧东五道西侧,,,,
威海小区,http://weihaixiaoqu0517.fang.com/,开发区,淮安经济技术开发区威海路北侧深圳路南侧,,,,
通胜花园,http://tongshenghuayuan0517.fang.com/,淮阴区,淮阴区通胜西路2号,,,,
曙光翠景美墅,http://shuguangcuijingmeishu.fang.com/,淮阴区,淮阴区曙光路,,,,
樱花艺墅,http://yinghuayishu.fang.com/,淮阴区,淮阴区翔宇北道,,,,
锦阳花园,http://jinyanghuayuan0517.fang.com/,淮阴区,淮阴区西安北路,,,,
乐园步行街,http://leyuanbuxingjie.fang.com/,清河区,清河区,,,,
和平新村,http://hepingxincun0517.fang.com/,清河区,淮海东路与承德南路交界处,,,,
富华园,http://fuhuayuan0517.fang.com/,清河区,上海路南 利苑路8号附近,,,,
京河湾,http://jinghewan0517.fang.com/,清浦区,淮安市北京南路克山路口（清浦大桥南100米）,,,,
淮阴中学教职工宿舍,http://huaiyinzhongxuejiaozhigongsushe.fang.com/,清浦区,清浦区西大街174号,,,,
运河家苑,http://yunhejiayuan2.fang.com/,清浦区,清浦区承德南路,,,,
新民新村,http://xinminxincun0517.fang.com/,清浦区,承德南路与新民东路交界处,,,,
锦江花园,http://jinjianghuayuan0517.fang.com/,清浦区,淮海南路水门桥东南侧,,,,
阳光现代城,http://xiandaichengyg.fang.com/,楚州,楚州区翔宇南道001号,,,,
新世纪城市花园,http://xinshijichengshihuayuan.fang.com/,清河区,大运河广场西侧,,,,
肉联厂宿舍,http://roulianchangsushe0517.fang.com/,清浦区,解放东路南侧承德南路西侧,,,,
城中花苑,http://chengzhonghuayuan0517.fang.com/,清浦区,清浦区财富广场南侧,,,,
星光苑,http://xingguangyuan0517.fang.com/,淮阴区,北京北路,,,,
国贸大厦,http://guomaodasha0517.fang.com/,清浦区,东大街,,,,
四季华庭,http://sijihuating0517.fang.com/,盱眙县,金源北路15号,,,,
汇达花园,http://huidahuayuan0517.fang.com/,淮阴区,淮阴区翔宇北道与珠江路交界处,,,,
承德府,http://chendefu0517.fang.com/,淮阴区,淮阴区承德北路西侧,,,,
加州城B区,http://jiazhouchengbqu.fang.com/,清河区,淮海西路北侧,,,,
西园小区,http://xiyuanxiaoqu0517.fang.com/,清河区,淮海西路与北京北路交界处,,,,
淮航小区,http://huaihangxiaoqu0517.fang.com/,清河区,清河北路15号,,,,
府景园,http://fujingyuan0517.fang.com/,清河区,清河区建设路11号,,,,
白鹭花园,http://bailuhuayuan0517.fang.com/,清河区,和平路25号,,,,
柯山花园,http://keshanhuayuan0517.fang.com/,清浦区,清浦区淮海南路东侧 正大路北侧,,,,
一院宿舍,http://yiyuansushe0517.fang.com/,淮阴区,北京西路5号,,,,
康城明珠北区,http://kangchengmingzhubeiqu.fang.com/,清河区,清河区健康东路北侧,,,,
北新村,http://beixincun.fang.com/,清河区,承德北路139号,,,,
健康新村东村,http://jiankangxincundongcun.fang.com/,清河区,清河区翔宇北道东侧,,,,
承德公寓,http://chengdegongyu0517.fang.com/,清河区,清河区承德北路,,,,
九龙花苑,http://jiulonghuayuan0517.fang.com/,清河区,桑园路1号,,,,
华都公寓,http://huadugongyu0517.fang.com/,清河区,清河区淮海西路北侧,,,,
丰登苑,http://fengdengyuan.fang.com/,清河区,丰登路40号,,,,
环美小区,http://huanmeixiaoqu.fang.com/,清河区,淮海东路南 圩北路西,,,,
明光花园,http://mingguanghuayuan0517.fang.com/,清浦区,淮海南路东侧 正大路南侧,,,,
冶金大院,http://yejindayuan0517.fang.com/,清浦区,清浦区北京南路西侧,,,,
文颐园,http://wenyiyuan0517.fang.com/,清浦区,人民南路94,,,,
庆荷楼,http://qinghelou.fang.com/,清浦区,人民南路2号S-106,,,,
二院宿舍,http://eryuansushe0517.fang.com/,清浦区,淮海南路60号,,,,
怡景园,http://yijingyuan20517.fang.com/,清浦区,清浦区正大路南侧 淮海南路东侧,,,,
康居名城,http://kangjumingcheng.fang.com/,清浦区,淮海南路西侧 兴淮西路北侧,,,,
前进路教师新村,http://qianjinlujiaoshixincun.fang.com/,清浦区,清浦区前进西路北侧,,,,
富淮小区,http://fuhuaixiaoqu.fang.com/,清浦区,人民南路159,,,,
加州城A区,http://jiazhouchengaqu.fang.com/,清河区,淮海西路,,,,
七九大院,http://qijiudayuan.fang.com/,清河区,清河路,,,,
航运新村,http://hangyunxincun0517.fang.com/,清浦区,延安东路南侧天津路东侧,,,,
维科·皇家花园,http://huangjiahuayuanwk2.fang.com/,清浦区,延安东路77号,,,,
广厦公寓,http://guangshagongyu0517.fang.com/,清浦区,承德南路20号,,,,
清浦区委宿舍,http://qingpuquweisushe.fang.com/,清浦区,新民东路33号,,,,
金伦·汇锦园,http://huijinyuanjl.fang.com/,清浦区,承德南路118号,,,,
汇丰园,http://huifengyuan0517.fang.com/,清河区,上海路,,,,
淮钢小区,http://huaigangxiaoqu0517.fang.com/,清浦区,解放东路2,,,,
新盛小区,http://xinshengxiaoqu0517.fang.com/,清河区,青年路,,,,
建工一村,http://jiangongyicun.fang.com/,清河区,淮海西路103号,,,,
北京公寓,http://beijinggongyu0517.fang.com/,清河区,中径路,,,,
银都商城,http://yindushangcheng.fang.com/,清浦区,清浦区东大街,,,,
翡翠城花园小区,http://feicuicheng0517.fang.com/,清河区,城东乡南窑村,,,,
一品华庭,http://yipinhuating0517.fang.com/,楚州,淮安楚州城西北路72号,,,,
四季花园,http://sijihuayuan0517.fang.com/,淮阴区,淮海北路548号,,,,
中亿清河嘉园,http://qinghejiayuanzy.fang.com/,清河区,北京北路199号（原机器厂地块）,,,,
东方曼哈顿大厦,http://dongfangmanhuadundasha.fang.com/,开发区,深圳路11号,,,,
优山华庭,http://youshanhuating.fang.com/,开发区,淮安开发区珠海路与苏州路交叉路口,,,,
比佛利,http://bifoli.fang.com/,开发区,南昌路与珠海路交汇处,,,,
新强花园,http://xinqianghuayuan.fang.com/,开发区,经济开发区安澜南路与和畅路交汇处,,,,
玫苑轩,http://meiyuanxuan.fang.com/,开发区,开发区汕头路36号,,,,
南京路小区,http://nanjingluxiaoqu0517.fang.com/,开发区,淮安经济开发区南京路,,,,
比佛利,http://bifoli0517.fang.com/,开发区,淮安经济开发区南昌路与珠海路交汇处,,,,
世袭领地,http://shixilingdi0517.fang.com/,开发区,淮安经济开发区南昌路与珠海路交汇处,,,,
东湖豪庭,http://donghuhaoting0517.fang.com/,开发区,开发区珠海路,,,,
阳光花园春竹苑,http://yangguanghuayuanchunzuyuan.fang.com/,淮阴区,淮阴区黄河东路与银川路交界处,,,,
黄河花园前进小区,http://huanghehuayuanqianjinxiaoqu.fang.com/,淮阴区,淮阴区前近街17-5号附近,,,,
新苑逸城,http://xinyuanyicheng.fang.com/,清河区,北京路淮阴工学院对面,,,,
依云法国小城,http://yiyunfaguoxiaocheng.fang.com/,淮阴区,淮海北路东侧的盐河广场东侧,,,,
畅春园,http://changchunyuan0517.fang.com/,开发区,汕头路与福州路交汇处(开发区公安分局对面),,,,
书香名苑,http://shuxiangmingyuan0517.fang.com/,淮阴区,沈阳路·淮海中学对面,,,,
怡和苑,http://yiheyuan0517.fang.com/,涟水县,淮浦路东淮河路南,,,,
钵池山花园,http://bochishanhuayuan.fang.com/,开发区,淮安市开发区南京路,,,,
水沐楼台,http://shuimuloutai.fang.com/,开发区,威海路北侧109号,,,,
小康城,http://xiaokangcheng0517.fang.com/,开发区,经济开发区小康城,,,,
三民小区,http://sanminxiaoqu0517.fang.com/,淮阴区,淮阴区长江东路与淮海北路交界处,,,,
东方家园,http://dongfangjiayuan20517.fang.com/,淮阴区,淮阴区翔宇北道与北京东路交界处,,,,
世纪苑,http://shijiyuan0517.fang.com/,淮阴区,北京东路10号附近,,,,
建行宿舍,http://jianhangsushe0517.fang.com/,清河区,富北路4号,,,,
东一区小区,http://dongyiquxiaoqu.fang.com/,清河区,健康东路118号,,,,
温州花园,http://wenzhouhuayuan0517.fang.com/,清河区,健康东路与圩北路交界处,,,,
华夏家园,http://huaxiajiayuan0517.fang.com/,清河区,承德北路东侧,,,,
红树小区,http://hongshuxiaoqu.fang.com/,清河区,丰登路42号,,,,
工学院宿舍,http://gongxueyuansushe0517.fang.com/,清河区,清河区大治西路,,,,
淮安市公安局西安路宿舍区,http://gonganjuxianlusushe.fang.com/,清河区,西安北路西侧 健康西路南侧,,,,
清河区上海花园,http://qinghequshanghaihuayuan.fang.com/,清河区,清河区青年路8号,,,,
大桥新村,http://daqiaoxincun0517.fang.com/,清浦区,清浦区前进东路,,,,
繁荣新村,http://fanrongxincun.fang.com/,清河区,清河路,,,,
新东南公寓,http://xindongnangongyu.fang.com/,清河区,健康西路150-2,,,,
盐河花园,http://yanhehuayuan.fang.com/,淮阴区,淮阴区北京西路,,,,
石化新村,http://shihuaxincun0517.fang.com/,清浦区,城西路东侧,,,,
浦南丽景,http://punanlijing.fang.com/,清浦区,武墩镇武林路8号,,,,
十排房花苑,http://shipaifanghuayuan.fang.com/,清河区,淮海西路南侧西安路东侧,,,,
金桂陶然居,http://taoranjujg.fang.com/,盱眙县,金桂大道东侧,,,,
逸景园,http://yijingyuan0517.fang.com/,开发区,纬一路,,,,
成业花园小区,http://chengyehuayuan0517.fang.com/,开发区,汕头路38号,,,,
楚州农副产品批发市场,http://nongfuchanpinpifashichang.fang.com/,楚州,翔宇大道和城西大道交汇处,,,,
金莺华庭,http://jinyinghuating.fang.com/,楚州,楚州大道东侧、华西路北侧,,,,
新湖翔宇花园,http://xiangyuhuayuanxh.fang.com/,淮安区,关天培路136号,,,,
奇祥苑,http://qixiangyuan.fang.com/,开发区,汕头北路18-1号,,,全款86按揭88,2011-12-2
爱琴海,http://newhouse.huaian.fang.com/house/1826658744.htm,淮阴区,樱花路169号（樱花路与曙光路交汇处新长征小学对面）,5000,元/平方米,无,2011-11-01
东湖嘉景,http://donghujiajing.fang.com/,开发区,达方路与安澜路交汇处,3400,元/平方米,全款98折,2011年11月3-8号楼已开盘
桃源居,http://taoyuanju0517.fang.com/,清河区,健康西路148-3号,6000,元/平方米,全款95折,2011年11月份
盛元名邸,http://shengyuanmingdi.fang.com/,开发区,无锡路58号,7600,元/平方米,全款97折,2011-9-15
国信金河世家,http://jinheshijiaguoxin.fang.com/,淮阴区,沈阳路东侧，废黄河风光带北侧,8000,元/平方米,全款97折,2011-08
东方康桥,http://newhouse.huaian.fang.com/house/1826680298.htm,淮安区,铁云路和翔宇大道交汇处,4000,元/平方米,,
文馨苑小区,http://wenxinyuanxiaoqu.fang.com/,清河区,军营西路22号北侧,5300,元/平方米,,
金陵华府,http://jinlinghuafu.fang.com/,淮安区,范集镇育才路东侧，永安路北侧,2800,元/平方米,,2011年7月28日一期已开盘
台北City不夜城,http://taibeibuyecheng.fang.com/,清浦区,环城东路西侧原工人文化宫,34,万元/套,,2011-06-26
多瑙河国际公寓,http://duonaoheguojigongyu.fang.com/,淮阴区,长江西路南侧北京北路东侧,5000,元/平方米,总价减2000,
